musician_id,filename,event_count
3599,DTSQ델타시퀀스,62
6409,dub,4
5117,Dusky80,8
4190,dyd_trio,1
4547,DyoN_Joo,65
2449,E-Lips,4
3034,E-Na,5
1715,E.C.E,1
3384,E.S.C,1
599,E.T.,4
1690,E9,2
3609,each_other,1
2254,EARL,1
5510,Earls,2
4491,Ears,2
3636,East_wind,1
1379,Ebonyhill,1
2670,ECS,1
5024,Effective_Voyz,1
658,Eighteen_April,12
76,Electric_Visor,1
2772,Elliott_Ashby,1
1554,Elsa_Evna,2
5789,Emilie_and_Laurent_Duo,1
6219,EMJQ,1
3274,End_These_days,12
3244,Endless_Cave,7
6949,Endo_Michiro,1
5611,ENOCH,1
2241,Erin_Rae_Murray,1
4813,Eshe_and_Navah,1
4168,Espiritu,1
3110,Ethereal_Sin,2
2565,Eugene_Smith,1
1971,Ex8er,3
2575,Exit,1
1658,Exotia,1
4286,expo93,1
1281,Eye_of_Violence,1
398,EZIS,1
850,F.world,1
2153,Faith_for_sale,1
1297,Fall_of_Minna,1
1279,Fall_of_Mirra,1
3321,Fan.L.C,1
391,Fanfarlo,1
204,FAR_EAST_MOVMENT,0
6999,FatDog,1
947,Find_the_spot,24
2711,Fine,5
1931,Firehouse,1
3264,FIRST_AID,6
6806,Five_guys,2
1376,Flashback,3
4094,FLORA,1
2501,Flower_Pot,1
2617,Flowing,1
5595,FLUSH!!,10
2258,Flying_Kite_Robot,8
1858,FM_Driver,4
6322,Folk_Rain,1
3953,fragile,2
5471,Francesca_Han_Trio,2
1292,Frank_Beard,2
2304,Freaky,1
870,Freely,1
1977,FreestyleTown,1
2067,from_the_Piano_room,1
1898,FUCKUSHI_OYO,7
3293,Full_Mental_Panic,2
6811,Funk_Tronic,1
6716,Fuyama_Yousuke,1
2737,G-chord,1
1965,G.L.,2
6279,G.P.S_Project,1
2548,G.T_Arpe,3
2337,Gacharic_SpinJPN,1
2468,GAHS,2
1929,Galneryus,1
6963,GDB_가자미소년단,3
2308,Gi_Chii,1
2299,Giriboy,4
528,Gloomy_30s,1
1983,Go_Go_Second_Time_Virgin,3
2618,Goat_And_Monkey,4
23,GoGoBoys,6
3615,Gonna_Be,1
1493,Good4Nothing,1
2226,Goodmorningkids,2
1775,GOOGOLPLEX_구골플렉스,2
2765,GOST_WIND,2
2239,Grand_Soul_Central,1
3191,Grande,1
1509,Gravity,6
7055,Gray_Watson_and_the_Visions,1
1514,Grey,1
1153,Grigio_Gatto,1
2527,Grimes,3
2521,GT_Arpe,3
3679,GTV,1
2636,GUIGUISUISUI,3
3143,Guilin,2
5597,H.F.G_Quartet,7
2518,H20,2
1737,H2O,9
4936,H30,2
1911,Hadanero,1
2696,Hades_the_Violet,3
3572,HAERO,1
1946,Hainu_일본,3
6469,Hajime_Niwa_collective,1
1451,HALO,1
2346,HAMACHN,1
6487,Hasegawa_Kaori,1
4720,Hatch,4
1105,HATI,1
5294,HEAD,8
1109,HEAD_TURNER,19
3250,Headturner,2
1932,HealerLeagueList,1
2925,Heimlich_county_gun_club,4
1718,Heisenberg,4
3106,Hell_and_Hell,1
3322,Hello_Rana,2
4624,HEO,7
4393,HEYOU,2
5720,HFG,2
5359,HG_Funktronic,4
2256,Highway_9,1
825,Hill,1
1776,HJ,1
4074,HMK,2
795,Homeless,2
2595,Hooky,1
6792,Hosts,1
2566,Hot_Cranes,1
183,Hot_Feet,1
1308,Hound,4
3093,How_To_Love_밴드,3
5509,HOWON_JAZZ_TRIO,1
1652,HR시간,75
1395,Hu_Ju,1
3247,Hums,3
2574,Huqueymsaw,4
5829,Hyoki_and_Cho_Yoon_Seung_and_Joe_Power,1
2249,I_M,1
6752,I_WEAR_EXPERIMENT,1
847,i-FN,1
5221,I.F,1
3340,I:MAGINE,1
5383,IARA_Project,1
2125,IC밴드,1
2568,Igniter,9
1988,ILLY_J일리제이,1
3850,IMGL,58
601,In_a_Daze,1
141,iNOO,1
3212,Invictus,1
4710,Iron_Lung,1
3283,J-Path,1
985,J-Tong,5
1979,J-U,2
1869,J.E.S_Play,1
6876,Jade_Van_Vuuren,1
1758,JahExcretion,3
1498,Jail_Guitar_Doors,1
2770,Jake_Pains,1
1934,James_Wallsh_of_StarSailor,1
2525,Japandroids,2
2262,Jason_Bezzle,1
3131,Jay_D_Standard,1
453,JAZZ_비빔밥,1
722,Jazzhop,1
6960,jazzologist,1
5022,Jazzy_prez,1
2380,jeshe,8
2246,Jennifer_Waescher,1
